function,connection_type,count,duration,roundtrip_per_second
direct ping pong,tcp,1,0.00806283950805664,124.02578508486604
direct ping pong,mqtt,1,0.6438908576965332,1.5530582365735368
direct ping pong,tcp,2,0.02068042755126953,96.70979940050726
direct ping pong,mqtt,2,0.6278560161590576,3.1854437140462646
direct ping pong,tcp,25,0.025068283081054688,997.2761165639504
direct ping pong,mqtt,25,0.7104604244232178,35.18844842103073
direct ping pong,tcp,50,0.041452884674072266,1206.1886740363268
direct ping pong,mqtt,50,0.7423961162567139,67.34949025879664
direct ping pong,tcp,100,0.0325314998626709,3073.943729066964
direct ping pong,mqtt,100,0.869879961013794,114.95839021680173
direct ping pong,tcp,200,0.06451416015625,3100.0946073793757
direct ping pong,mqtt,200,0.8036990165710449,248.84937753600016
direct ping pong,tcp,300,0.08690237998962402,3452.149412200442
direct ping pong,mqtt,300,0.8401551246643066,357.0769149564711
direct ping pong,tcp,400,0.10386347770690918,3851.209384002663
direct ping pong,mqtt,400,0.9495854377746582,421.2364512848839
direct ping pong,tcp,500,0.13129711151123047,3808.1568912293446
direct ping pong,mqtt,500,1.062910556793213,470.4064672275844
direct ping pong,tcp,600,0.15686869621276855,3824.8548912919578
direct ping pong,mqtt,600,1.1880950927734375,505.0100818103592
direct ping pong,tcp,700,0.18143916130065918,3858.042525009494
direct ping pong,mqtt,700,1.0415658950805664,672.0650160553251
direct ping pong,tcp,800,0.21370244026184082,3743.522998706954
direct ping pong,mqtt,800,1.1652777194976807,686.5316195566307
direct ping pong,tcp,900,0.2335796356201172,3853.0756228411847
direct ping pong,mqtt,900,1.465672492980957,614.0525965453139
direct ping pong,tcp,1000,0.294996976852417,3389.86524767095
direct ping pong,mqtt,1000,1.4460737705230713,691.5276525887623
direct ping pong,tcp,5000,1.345865249633789,3715.082175842272
direct ping pong,tcp,10000,2.8692626953125,3485.21591150819
clock synchronisation,tcp,1,0.0049669742584228516,201.32981327701242
clock synchronisation,mqtt,1,0.6614067554473877,1.511928917816362
clock synchronisation,tcp,2,0.007399797439575195,270.2776685891033
clock synchronisation,mqtt,2,0.7190084457397461,2.7816084941009502
clock synchronisation,tcp,25,0.045577287673950195,548.518818821437
clock synchronisation,mqtt,25,1.815993309020996,13.766570546164361
clock synchronisation,tcp,50,0.054126739501953125,923.7578405807316
clock synchronisation,mqtt,50,3.051990270614624,16.38275209505526
clock synchronisation,tcp,100,0.10372447967529297,964.0925682447156
clock synchronisation,mqtt,100,5.415087938308716,18.46692078489732
clock synchronisation,tcp,200,0.17464327812194824,1145.1915135281984
clock synchronisation,mqtt,200,10.181954383850098,19.642594384161256
clock synchronisation,tcp,300,0.20607423782348633,1455.786046662301
clock synchronisation,mqtt,300,14.827389001846313,20.232827233617723
clock synchronisation,tcp,400,0.2812516689300537,1422.213782843289
clock synchronisation,mqtt,400,19.859772443771362,20.14121768678434
clock synchronisation,tcp,500,0.36540818214416504,1368.3327972189036
clock synchronisation,mqtt,500,24.71501636505127,20.230615776853554
clock synchronisation,tcp,600,0.45270752906799316,1325.3590043780443
clock synchronisation,mqtt,600,29.423688650131226,20.39173290386636
clock synchronisation,tcp,700,0.5118927955627441,1367.4738266836948
clock synchronisation,mqtt,700,34.06194019317627,20.550796461683444
clock synchronisation,tcp,800,0.5652046203613281,1415.4165963621638
clock synchronisation,mqtt,800,39.29730939865112,20.357627843789732
clock synchronisation,tcp,900,0.6355373859405518,1416.1244010343494
clock synchronisation,mqtt,900,44.11403036117554,20.401672498101284
clock synchronisation,tcp,1000,0.7026801109313965,1423.122676226752
clock synchronisation,mqtt,1000,48.63691973686218,20.56051257789861
clock synchronisation,tcp,5000,3.3960533142089844,1472.297263143706
clock synchronisation,tcp,10000,6.611381769180298,1512.5431186890655
